"","replicateID","recordUID","species","speciesID","temperature","mass.mg","mass.g","log.mass.mg","log.mass.g","speed.mmPms","log.speed","monotop","habReq","niche","date","year","chamber"
"1",206,51792239,"H.affinis","HA50_06",20,50,0.05,3.91202300542815,-1.30102999566398,0.043697934149651,-3.13045445146138,"eurytop","heliophil, xerophil","campicol","10.07.2018",2018,"D3"
"2",150,38534285,"H.affinis","HA50_04",20,57,0.057,4.04305126783455,-1.24412514432751,0.0392793695611767,-3.23705584549288,"eurytop","heliophil, xerophil","campicol","09.07.2018",2018,"D4"
"3",14,4060101,"H.affinis","HA50_17",25,58,0.058,4.06044301054642,-1.23657200643706,0.0595452328066868,-2.82101904000936,"eurytop","heliophil, xerophil","campicol","07.08.2018",2018,"D3"
"4",302,77919852,"H.affinis","HA50_15",30,58,0.058,4.06044301054642,-1.23657200643706,0.0475249939450354,-3.04649951801354,"eurytop","heliophil, xerophil","campicol","09.08.2018",2018,"D4"
"5",148,38228044,"H.affinis","HA50_03",20,85,0.085,4.44265125649032,-1.07058107428571,0.0419853845186657,-3.17043370891134,"eurytop","heliophil, xerophil","campicol","12.07.2018",2018,"D4"
"6",363,93153362,"H.affinis","HA50_11",25,85,0.085,4.44265125649032,-1.07058107428571,0.0617528256685319,-2.78461554470672,"eurytop","heliophil, xerophil","campicol","17.07.2018",2018,"D3"
"7",353,90537560,"P.melanarius","PM50_41",30,96,0.096,4.56434819146784,-1.01772876696043,0.0465568291324853,-3.06708158070269,"eurytop","hygrophil","nsp","16.08.2018",2018,"D3"
"8",346,88145100,"P.melanarius","PM50_40",25,143,0.143,4.96284463025991,-0.844663962534938,0.0760382219436313,-2.5765191448069,"eurytop","hygrophil","nsp","02.08.2018",2018,"D4"
"9",274,70957529,"P.melanarius","PM50_34",30,143,0.143,4.96284463025991,-0.844663962534938,0.0709917909876512,-2.64519102851755,"eurytop","hygrophil","nsp","10.08.2018",2018,"D4"
"10",156,40090161,"P.melanarius","PM50_51",30,152,0.152,5.02388052084628,-0.818156412055227,0.0552190107799776,-2.89644798680253,"eurytop","hygrophil","nsp","09.08.2018",2018,"D3"
"11",220,54901145,"P.melanarius","PM50_26",30,184,0.184,5.21493575760899,-0.735182176990464,0.1017286748309,-2.28544606059672,"eurytop","hygrophil","nsp","14.08.2018",2018,"D3"
"12",202,51281475,"P.melanarius","PM50_24",25,209,0.209,5.34233425196481,-0.679853713888946,0.107003475055661,-2.23489396789189,"eurytop","hygrophil","nsp","25.07.2018",2018,"D4"
"13",44,13776431,"P.melanarius","PM50_11",20,218,0.218,5.38449506278909,-0.661543506395395,0.0436306546067698,-3.13199528836601,"eurytop","hygrophil","nsp","12.07.2018",2018,"D3"
"14",113,32038059,"P.melanarius","PM50_14",25,218,0.218,5.38449506278909,-0.661543506395395,0.049454502819194,-3.00670216703682,"eurytop","hygrophil","nsp","18.07.2018",2018,"D4"
"15",325,83937756,"P.melanarius","PM50_39",15,233,0.233,5.4510384535657,-0.632644078973981,0.0587878707548668,-2.83381972503527,"eurytop","hygrophil","nsp","21.06.2018",2018,"D4"
"16",143,37244354,"P.melanarius","PM50_19",20,233,0.233,5.4510384535657,-0.632644078973981,0.077975506095788,-2.55136052602151,"eurytop","hygrophil","nsp","03.07.2018",2018,"D3"
"17",142,36279944,"P.melanarius","PM50_18",20,246,0.246,5.50533153593236,-0.609064892896621,0.0640555875252642,-2.74800401751591,"eurytop","hygrophil","nsp","09.07.2018",2018,"D3"
"18",131,34941281,"P.melanarius","PM50_16",30,249,0.249,5.51745289646471,-0.603800652904264,0.0912568137208352,-2.39407761839401,"eurytop","hygrophil","nsp","14.08.2018",2018,"D3"
"19",258,67362246,"P.melanarius","PM50_32",30,259,0.259,5.55682806169954,-0.586700235918748,0.106561696641401,-2.23903115038174,"eurytop","hygrophil","nsp","14.08.2018",2018,"D4"
"20",15,4379437,"P.melanarius","PM50_09",25,282,0.282,5.64190707093811,-0.549750891680639,0.0293034909493729,-3.53004862502653,"eurytop","hygrophil","nsp","18.07.2018",2018,"D4"
"45",7,2487664,"N.brevicollis","NB70_24",14,38,0.038,3.63758615972639,-1.42021640338319,0.0222787879803306,-3.80412026484932,"eurytop","hygrophil","silvicol","03.12.2019",2019,"D4"
"46",320,82487852,"N.brevicollis","NB70_14",11,42,0.042,3.73766961828337,-1.3767507096021,0.0374796519193121,-3.28395710875984,"eurytop","hygrophil","silvicol","14.11.2019",2019,"D3"
"47",108,30823390,"N.brevicollis","NB70_07",8,43,0.043,3.76120011569356,-1.36653154442041,0.0285870211401872,-3.55480247044473,"eurytop","hygrophil","silvicol","01.11.2019",2019,"D3"
"48",203,51472222,"N.brevicollis","NB50_12",20,46,0.046,3.8286413964891,-1.33724216831843,0.0406423805551879,-3.20294390077421,"eurytop","hygrophil","silvicol","09.10.2019",2019,"D4"
"49",249,62237671,"N.brevicollis","NB70_15",11,47,0.047,3.85014760171006,-1.32790214206428,0.0308533127024879,-3.47851115343981,"eurytop","hygrophil","silvicol","14.11.2019",2019,"D3"
"50",381,97371911,"N.brevicollis","NB70_20",23,48,0.048,3.87120101090789,-1.31875876262441,0.0655449133612611,-2.72501967115396,"eurytop","hygrophil","silvicol","29.11.2019",2019,"D4"
"51",97,27819691,"N.brevicollis","NB50_03",8,49,0.049,3.89182029811063,-1.30980391997149,0.0326298198107826,-3.42252869058699,"eurytop","hygrophil","silvicol","25.09.2019",2019,"D4"
"52",175,45911208,"N.brevicollis","NB70_22",14,49,0.049,3.89182029811063,-1.30980391997149,0.0385867074676934,-3.25484742794091,"eurytop","hygrophil","silvicol","03.12.2019",2019,"D4"
"53",327,84150726,"N.brevicollis","NB50_16",17,49,0.049,3.89182029811063,-1.30980391997149,0.0732872909107057,-2.61336806969665,"eurytop","hygrophil","silvicol","10.10.2019",2019,"D3"
"54",147,38142981,"N.brevicollis","NB70_13",11,50,0.05,3.91202300542815,-1.30102999566398,0.0375047641002634,-3.28328731140132,"eurytop","hygrophil","silvicol","14.11.2019",2019,"D3"
"55",112,31694822,"N.brevicollis","NB70_21",23,50,0.05,3.91202300542815,-1.30102999566398,0.0608853350479218,-2.79876293707499,"eurytop","hygrophil","silvicol","29.11.2019",2019,"D4"
"56",380,97220532,"N.brevicollis","NB70_09",8,51,0.051,3.93182563272433,-1.29242982390206,0.0287510994497783,-3.54907927073856,"eurytop","hygrophil","silvicol","01.11.2019",2019,"D3"
"57",173,44536591,"N.brevicollis","NB70_04",29,51,0.051,3.93182563272433,-1.29242982390206,0.0841406440921156,-2.47526554584412,"eurytop","hygrophil","silvicol","29.10.2019",2019,"D4"
"58",122,33608764,"N.brevicollis","NB70_16",26,52,0.052,3.95124371858143,-1.2839966563652,0.0562579371984718,-2.87780814210148,"eurytop","hygrophil","silvicol","28.11.2019",2019,"D4"
"59",347,88419766,"N.brevicollis","NB50_19",14,53,0.053,3.97029191355212,-1.27572413039921,0.0653915222364945,-2.727362658333,"eurytop","hygrophil","silvicol","10.10.2019",2019,"D4"
"60",240,60514133,"N.brevicollis","NB50_13",26,53,0.053,3.97029191355212,-1.27572413039921,0.108031354588933,-2.22533377372479,"eurytop","hygrophil","silvicol","09.10.2019",2019,"D3"
"61",229,58030979,"N.brevicollis","NB70_05",29,53,0.053,3.97029191355212,-1.27572413039921,0.0240966155091605,-3.72568388365203,"eurytop","hygrophil","silvicol","29.10.2019",2019,"D4"
"62",361,92697188,"N.brevicollis","NB70_27",32,54,0.054,3.98898404656427,-1.26760624017703,0.0143563618109916,-4.24356210324259,"eurytop","hygrophil","silvicol","04.12.2019",2019,"D3"
"63",379,97129167,"N.brevicollis","NB50_21",14,55,0.055,4.00733318523247,-1.25963731050576,0.0591681651446405,-2.82737163266719,"eurytop","hygrophil","silvicol","10.10.2019",2019,"D4"
"64",106,30354707,"N.brevicollis","NB50_10",20,56,0.056,4.02535169073515,-1.2518119729938,0.0554028436824866,-2.89312435653746,"eurytop","hygrophil","silvicol","09.10.2019",2019,"D4"
"65",270,70483975,"N.brevicollis","NB50_09",11,57,0.057,4.04305126783455,-1.24412514432751,0.0616723206835337,-2.78592006001489,"eurytop","hygrophil","silvicol","08.10.2019",2019,"D4"
"66",319,81346356,"N.brevicollis","NB70_02",20,58,0.058,4.06044301054642,-1.23657200643706,0.0659327652173245,-2.71911976502063,"eurytop","hygrophil","silvicol","28.10.2019",2019,"D3"
"67",372,95282176,"N.brevicollis","NB50_11",26,59,0.059,4.07753744390572,-1.22914798835786,0.0871829715274007,-2.43974624778603,"eurytop","hygrophil","silvicol","09.10.2019",2019,"D3"
"68",239,60285285,"N.brevicollis","NB50_20",17,60,0.06,4.0943445622221,-1.22184874961636,0.0896758104727998,-2.41155421771448,"eurytop","hygrophil","silvicol","10.10.2019",2019,"D3"
"69",124,33733106,"N.brevicollis","NB50_26",23,60,0.06,4.0943445622221,-1.22184874961636,0.0814299289059692,-2.50801239657275,"eurytop","hygrophil","silvicol","11.10.2019",2019,"D3"
"70",67,18168602,"N.brevicollis","NB50_15",26,60,0.06,4.0943445622221,-1.22184874961636,0.0802040918908874,-2.52318074432782,"eurytop","hygrophil","silvicol","09.10.2019",2019,"D3"
"71",295,76144655,"N.brevicollis","NB70_12",17,61,0.061,4.11087386417331,-1.21467016498923,0.038146249142562,-3.26632784475992,"eurytop","hygrophil","silvicol","11.11.2019",2019,"D4"
"72",386,98250758,"N.brevicollis","NB70_03",20,61,0.061,4.11087386417331,-1.21467016498923,0.0426148892711156,-3.15555157336592,"eurytop","hygrophil","silvicol","28.10.2019",2019,"D3"
"73",12,3226122,"N.brevicollis","NB50_22",32,61,0.061,4.11087386417331,-1.21467016498923,0.0113485132277284,-4.47866853678676,"eurytop","hygrophil","silvicol","11.10.2019",2019,"D4"
"74",154,39996347,"N.brevicollis","NB70_23",14,62,0.062,4.12713438504509,-1.20760831050175,0.0590326828475736,-2.82966404187914,"eurytop","hygrophil","silvicol","03.12.2019",2019,"D4"
"75",309,80105823,"N.brevicollis","NB50_14",20,62,0.062,4.12713438504509,-1.20760831050175,0.069219708513577,-2.6704696517983,"eurytop","hygrophil","silvicol","09.10.2019",2019,"D4"
"76",132,35033351,"N.brevicollis","NB70_08",8,63,0.063,4.14313472639153,-1.20065945054642,0.023349014144781,-3.75720051653881,"eurytop","hygrophil","silvicol","01.11.2019",2019,"D3"
"77",125,33971258,"N.brevicollis","NB70_06",29,63,0.063,4.14313472639153,-1.20065945054642,0.00768839890437298,-4.86804272203521,"eurytop","hygrophil","silvicol","29.10.2019",2019,"D4"
"78",377,96103821,"N.brevicollis","NB70_17",26,64,0.064,4.15888308335967,-1.19382002601611,0.0615937799461289,-2.78719438844148,"eurytop","hygrophil","silvicol","28.11.2019",2019,"D4"
"79",53,14983882,"N.brevicollis","NB70_19",23,65,0.065,4.17438726989564,-1.18708664335714,0.0722515530286122,-2.62760145701491,"eurytop","hygrophil","silvicol","29.11.2019",2019,"D4"
"80",36,92183256,"N.brevicollis","NB70_18",26,66,0.066,4.18965474202643,-1.18045606445813,0.0582561537637316,-2.8429055481037,"eurytop","hygrophil","silvicol","28.11.2019",2019,"D4"
